id,group,learner,statistic,action_mode,human_arm,machine_arm,n_seeds_human,n_seeds_machine,episodes_per_seed,human_counts,machine_counts,human_rate,machine_rate,delta,perm_p,perm_exact,mde_80,ci_lo,ci_hi,sd_human,sd_machine,p_rope,p_gt0,bf01,post_mean,post_lo,post_hi,prior_flip,verdict,status,provisional,note,source,bank_stamp,evaluator,dead_human,dead_machine,rescored_from,rescore_in_flight,incomplete_cells,incomplete_detail,seed_shortfall,withdrawn,effect_size_only,prior_range
robo_rlpd_mg200s,robomimic Can,RLPD,success,mode,MH200 (200 human tapes),MG200s (200-tape subsample),8,8,50,27 44 30 1* 20 9 24 27,10 2 2 13 6 12 9 5,0.455,0.1475,0.3075,0.0078,exact,0.2947,0.0977,0.5173,0.2631,0.0855,0.0686,0.9891,0.2643,0.2487,0.0454,0.434,stable,difference detected,PROVISIONAL,"THE SOURCE READING IS WITHDRAWN by its own registered quantity control. The gap is a property of THIS 200-tape draw, which is not neutral: 89 % of its rows come from the last four SAC checkpoint blocks, so it is both small and narrow. Whether a NEUTRAL 200-tape draw would match the human arm is UNTESTED, and it is the difference between a pathological sample and a real per-demonstration quality gap. See MG718s / MGall.","LAST, 50 shared bank starts, 8 seeds.",cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,1,0,,,0,,,,False,0.027-0.069
robo_rlpd_mg718s,robomimic Can,RLPD,success,mode,MH200 (200 human tapes),MG718s (all 718 successes),8,8,50,27 44 30 1* 20 9 24 27,31 17 32 32 27 0* 28 23,0.455,0.475,-0.02,0.8855,exact,0.3636,-0.2788,0.2388,0.2631,0.2175,0.5931,0.4631,5.232,-0.002,-0.2359,0.2372,stable,INCONCLUSIVE (underpowered),OK,,"THE CONTROL THAT FIRED. At its NATURAL FULL SIZE (718 tapes, ~3.6x the human arm) the machine arm is indistinguishable from the human arm. This does not show that machine data matches human data per demonstration - only that the source penalty seen at 200 tapes disappears once the machine arm is allowed its own size.",cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,1,1,,,0,,,,False,0.557-0.651
robo_rlpd_mgall,robomimic Can,RLPD,success,mode,MH200 (200 human tapes),MGall (3900 rollouts),8,8,50,27 44 30 1* 20 9 24 27,37 30 34 22 14 39 32 36,0.455,0.61,-0.155,0.1919,exact,0.3335,-0.3924,0.0824,0.2631,0.1697,0.3357,0.0892,1.814,-0.1395,-0.3464,0.0799,stable,INCONCLUSIVE (underpowered),OK,,"At FULL SIZE (3900 rollouts, ~19.5x the human arm) the machine arm sits above the human arm. Read as a statement about quantity and coverage, not about per-demonstration quality: the comparison is not size-matched in this row.",cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,1,0,,,0,,,,False,0.300-0.340
robo_rlpd_mg200s_3x,robomimic Can,RLPD,success,mode,MH200 (200 human tapes),MG200s @ 3x budget (300k),8,8,50,27 44 30 1* 20 9 24 27,0* 22 25 4 24 25 12 3,0.455,0.2875,0.1675,0.1904,exact,0.3635,-0.0912,0.4262,0.2631,0.2172,0.3376,0.8739,1.83,0.1412,-0.1023,0.3675,stable,INCONCLUSIVE (underpowered),OK,,Budget control: 3x training decisions does not close the 200-tape gap.,cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,1,1,,,0,,,,False,0.320-0.352
robo_dp,robomimic Can,Diffusion Policy,success,sampled,MH200 (200 human tapes),MG200s (200-tape subsample),8,8,50,41 44 39 46 45 42 43 45,6 1 8 2 4 6 6 5,0.8625,0.095,0.7675,0.0002,exact,0.0704,0.7174,0.8176,0.0471,0.0463,0.0,1.0,1.91e-09,0.759,0.6992,0.8081,stable,difference detected,PROVISIONAL,"Rests on the SAME 200-tape draw whose source reading RLPD withdrew, and inherits the same doubt. It has not been run on MG718s or MGall.","LAST. There is no PH200 DP arm, so the registered A1 prediction is untestable as written.",cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,0,0,,,0,,,,False,0.000-0.000
robo_bcrnn_mh,robomimic Can,BC-RNN,success,mode,MH200 (200 human tapes),MG200s (200-tape subsample),3,3,50,49 45 45,22 14 23,0.9267,0.3933,0.5333,,,,,,0.0462,0.0987,,,,,,,,"WITHDRAWN by its own registered fixed-head control (amendment A5). This row compared each arm AT ITS OWN RECIPE OPTIMUM - the human arm with a 5-component mixture head, the machine arm with a deterministic one - so it measured the head choice and the demonstration source together, and cannot be attributed to source. Head-matched cells at adequate seeds do not exist yet, so no re-score can repair it.",WITHDRAWN,,LAST = epoch 2000. Kept visible only so the withdrawn comparison can be inspected against the head-matched rows below.,cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,0,0,,,0,,,"WITHDRAWN by its own registered fixed-head control (amendment A5). This row compared each arm AT ITS OWN RECIPE OPTIMUM - the human arm with a 5-component mixture head, the machine arm with a deterministic one - so it measured the head choice and the demonstration source together, and cannot be attributed to source. Head-matched cells at adequate seeds do not exist yet, so no re-score can repair it.",False,
robo_bcrnn_ph,robomimic Can,BC-RNN,success,mode,PH200 (200 proficient-human tapes),MG200s (200-tape subsample),3,3,50,46 46 46,22 14 23,0.92,0.3933,0.5267,,,,,,0.0,0.0987,,,,,,,,"WITHDRAWN by its own registered fixed-head control (amendment A5). This row compared each arm AT ITS OWN RECIPE OPTIMUM - the human arm with a 5-component mixture head, the machine arm with a deterministic one - so it measured the head choice and the demonstration source together, and cannot be attributed to source. Head-matched cells at adequate seeds do not exist yet, so no re-score can repair it.",WITHDRAWN,,Same withdrawal as robo_bcrnn_mh: PH200 also runs a mixture head against a deterministic-head machine arm.,cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,0,0,,,0,,,"WITHDRAWN by its own registered fixed-head control (amendment A5). This row compared each arm AT ITS OWN RECIPE OPTIMUM - the human arm with a 5-component mixture head, the machine arm with a deterministic one - so it measured the head choice and the demonstration source together, and cannot be attributed to source. Head-matched cells at adequate seeds do not exist yet, so no re-score can repair it.",False,
robo_bcrnn_matched_mixture,robomimic Can,BC-RNN,success,mode,"MH200, 5-component mixture head","MG200s, 5-component mixture head",3,3,50,49 45 45,6 4 4,0.9267,0.0933,0.8333,,,0.1108,0.7506,0.9161,0.0462,0.0231,,,,,,,,"EFFECT SIZE ONLY - no p-value is computed. At 3 seeds per arm the exact permutation test has 20 distinct splits, so its smallest attainable two-sided p is 0.10 and it can never reach 0.05. The registration put the decision on effect size for exactly this reason.",OK,,HEAD-MATCHED source gap with MIXTURE heads on both arms. Compare against robo_bcrnn_matched_deterministic: the same source contrast measured with deterministic heads is FIVE TIMES smaller. The gap is not a property of the demonstrations alone.,cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,0,0,,,0,,,,True,
robo_bcrnn_matched_deterministic,robomimic Can,BC-RNN,success,mode,"MH200, deterministic head","MG200s, deterministic head",3,3,50,33 26 25,22 14 23,0.56,0.3933,0.1667,,,0.2826,-0.0444,0.3777,0.0872,0.0987,,,,,,,,"EFFECT SIZE ONLY - no p-value is computed. At 3 seeds per arm the exact permutation test has 20 distinct splits, so its smallest attainable two-sided p is 0.10 and it can never reach 0.05. The registration put the decision on effect size for exactly this reason.",OK,,"HEAD-MATCHED source gap with DETERMINISTIC heads on both arms. 0.167 against 0.834 for the mixture-head pairing - a fivefold difference produced by an architecture choice, not by the demonstrations.",cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,0,0,,,0,,,,True,
robo_r2d,robomimic Can,world model (r2dreamer),success,mode,MH200 (200 human tapes),MG200s (200-tape subsample),8,8,50,0 0 0 0 0 0 0 0,0 0 0 0 1 0 0 0,0.0,0.0025,-0.0025,,,0.0075,-0.0079,0.0029,0.0,0.0071,,,,,,,,"Both arms on the floor; no p-value or ROPE is computed because a null here is an artefact of the floor, not evidence of equivalence.",FLOOR,"NEVER READ OUT BEFORE THIS TABLE. Both arms are on the floor at ~541k training steps, so the world model has no working configuration on this independent task and the cell cannot bear a source comparison.","Reported as a LEARNABILITY FAILURE, not as a null, and deliberately not as an empty cell: ""we ran it and both arms floored"" is a stronger and more informative statement than ""not run"". Consequence for the paper: the robomimic leg carries RLPD, Diffusion Policy and BC-RNN, but NOT a world model, so it cannot support the source-indifference headline on an independent task - on this task the world model does not learn at all.",cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,0,0,,,0,,,,False,
robo_rlpd_nodemo,robomimic Can,RLPD,success,mode,MH200 (200 human tapes),no demonstrations (control),8,8,50,27 44 30 1* 20 9 24 27,0 0 0 0 0 0 0 0,0.455,0.0,0.455,0.0002,exact,0.2803,0.2555,0.6545,0.2631,0.0,0.0001,1.0,0.0005371,0.4308,0.2672,0.5993,stable,difference detected,OK,,"Registered negative control G2b: RLPD with no demonstrations at all. 0/50 on every seed, so demonstrations of either source are doing real work here.",cluster:robomimic + cluster:robomimic,bank_can50,baselines/robomimic/eval_*_robosuite.py,1,0,,,0,,,,False,0.000-0.000
